Elapsed Time (s),Position (mm),Force (N)
-0.013,66.1593,-0.852826
0.018,66.1593,-0.852826
0.049,66.1593,-0.852826
0.079,66.1593,-0.852826
0.110,66.1593,-0.852826
0.141,66.1593,-0.852826
0.172,66.1593,-0.655772
0.203,66.1593,-0.655772
0.235,66.1593,-0.655772
0.266,66.1593,-0.655772
0.297,66.1593,-0.655772
0.327,66.1593,-0.655772
0.358,66.1593,-0.655772
0.389,66.1593,-0.655772
0.419,66.1593,-0.655772
0.450,66.1593,-0.445732
0.480,66.1593,-0.445732
0.510,66.1593,-0.445732
0.542,66.1593,-0.445732
0.572,66.1593,-0.445732
0.602,66.1593,-0.445732
0.633,66.1593,-0.445732
0.659,66.1593,-0.445732
0.694,66.1593,-0.360747
0.726,66.1593,-0.360747
0.758,66.1593,-0.360747
0.787,66.1593,-0.360747
0.818,66.1593,-0.360747
0.850,66.1593,-0.360747
0.881,66.1593,-0.360747
0.911,66.1593,-0.360747
0.942,66.1593,-0.316556
0.972,66.1593,-0.316556
1.003,66.1593,-0.316556
1.035,66.1593,-0.316556
1.065,66.1593,-0.316556
1.096,66.1593,-0.316556
1.128,66.1593,-0.316556
1.159,66.1593,-0.316556
1.190,66.1593,-0.316556
1.221,66.1593,-0.290132
1.252,66.1593,-0.290132
1.283,66.1593,-0.290132
1.314,66.1593,-0.290132
1.345,66.1593,-0.290132
1.376,66.1593,-0.290132
1.408,66.1593,-0.290132
1.439,66.1593,-0.290132
1.470,66.1593,-0.272798
1.501,66.1593,-0.272798
1.533,66.1593,-0.272798
1.563,66.1593,-0.272798
1.595,66.1593,-0.272798
1.626,66.1593,-0.272798
1.657,66.1593,-0.272798
1.688,66.1593,-0.272798
1.719,66.1593,-0.260564
1.751,66.1593,-0.260564
1.782,66.1593,-0.260564
1.813,66.1593,-0.260564
1.843,66.1593,-0.260564
1.876,66.1593,-0.260564
1.905,66.1593,-0.260564
1.936,66.1593,-0.260564
1.968,66.1593,-0.251474
2.001,66.1593,-0.251474
2.031,66.1593,-0.251474
2.062,66.1593,-0.251474
2.093,66.1593,-0.251474
2.128,66.1593,-0.251474
2.156,66.1593,-0.251474
2.186,66.1593,-0.251474
2.218,66.1593,-0.244388
2.249,66.1593,-0.244388
2.280,66.1593,-0.244388
2.313,66.1593,-0.244388
2.341,66.1593,-0.244388
2.372,66.1593,-0.244388
2.404,66.1593,-0.244388
2.435,66.1593,-0.244388
2.466,66.1593,-0.238657
2.497,66.1593,-0.238657
2.528,66.1593,-0.238657
2.559,66.1593,-0.238657
2.590,66.1593,-0.238657
2.621,66.1593,-0.238657
2.652,66.1593,-0.238657
2.684,66.1593,-0.238657
2.715,66.1593,-0.233980
2.746,66.1593,-0.233980
2.777,66.1593,-0.233980
2.808,66.1593,-0.233980
2.839,66.1593,-0.233980
2.870,66.1593,-0.233980
2.901,66.1593,-0.233980
2.932,66.1593,-0.233980
2.965,66.1593,-0.229990
2.993,66.1593,-0.229990
3.024,66.1593,-0.229990
3.055,66.1593,-0.229990
3.086,66.1593,-0.229990
3.117,66.1593,-0.229990
3.149,66.1593,-0.229990
3.180,66.1593,-0.226546
3.212,66.1593,-0.226546
3.241,66.1593,-0.226546
3.273,66.1593,-0.226546
3.304,66.1593,-0.226546
3.336,66.1593,-0.226546
3.367,66.1593,-0.226546
3.401,66.1593,-0.226546
3.432,66.1593,-0.226546
3.460,66.1593,-0.226546
3.491,66.1593,-0.223591
3.525,66.1593,-0.223591
3.553,66.1593,-0.223591
3.583,66.1593,-0.223591
3.615,66.1593,-0.223591
3.647,66.1593,-0.223591
3.677,66.1593,-0.220316
3.708,66.1593,-0.220316
3.739,66.1593,-0.220316
3.771,66.1593,-0.220316
3.801,66.1593,-0.220316
3.832,66.1593,-0.220316
3.863,66.1593,-0.220316
3.893,66.1593,-0.220316
3.925,66.1593,-0.216260
3.957,66.1593,-0.216260
3.987,66.1593,-0.216260
4.018,66.1593,-0.216260
4.049,66.1593,-0.216260
4.081,66.1592,-0.216260
4.111,66.1583,-0.216260
4.143,66.1567,-0.216260
4.173,66.1545,-0.216260
4.204,66.1514,-0.211724
4.235,66.1478,-0.211724
4.266,66.1432,-0.211724
4.296,66.1381,-0.211724
4.328,66.1318,-0.211724
4.359,66.1256,-0.211724
4.390,66.1181,-0.211724
4.421,66.1101,0.134550
4.451,66.1013,0.134550
4.483,66.0915,0.134550
4.515,66.0809,0.134550
4.545,66.0700,0.134550
4.576,66.0584,0.134550
4.608,66.0455,0.134550
4.640,66.0319,0.134550
4.670,66.0183,0.134550
4.701,66.0039,0.134550
4.732,65.9880,0.258325
4.763,65.9720,0.258325
4.796,65.9539,0.258325
4.824,65.9383,0.258325
